epoch,loss,lr,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,1.018838882446289,0.001,0.6453354954719543,4.015653133392334,0.24127505719661713
1,0.6862778663635254,0.001,0.7588548064231873,2.877840042114258,0.30562612414360046
2,0.6002002358436584,0.001,0.7903610467910767,2.931438446044922,0.31636178493499756
3,0.5432116389274597,0.001,0.8115676045417786,3.0246777534484863,0.3463701605796814
4,0.49874427914619446,0.001,0.8270806074142456,3.4351751804351807,0.313257098197937
5,0.4652803838253021,0.001,0.8385883569717407,3.5514187812805176,0.30079543590545654
6,0.40370866656303406,0.000100000005,0.8619762063026428,3.4796969890594482,0.30913564562797546
7,0.3834424614906311,0.000100000005,0.8693128824234009,3.551815986633301,0.30114883184432983
8,0.3736666142940521,0.000100000005,0.8728636503219604,3.670863151550293,0.2989605963230133
9,0.366123229265213,0.000100000005,0.8753735423088074,3.6720657348632812,0.3022344410419464
